,model,cluster,top_hue,top_accuracy
0,barlow,0,0.0,45.751262
1,barlow,1,0.05,67.364548
2,barlow,2,0.0,76.45155733333334
3,barlow,3,0.35,71.71286533333333
4,barlow,4,0.0,77.97320800000001
5,barlow,5,0.25,76.40346533333334
6,barlow,6,0.15,72.75651933333333
7,barlow,7,0.0,68.46437800000001
8,barlow,8,0.05,62.814258666666674
9,barlow,9,0.05,82.43395266666666
10,barlow,10,0.05,77.31031800000001
11,barlow,11,0.1,65.06745066666667
12,barlow,12,0.05,67.05974
13,barlow,13,0.05,63.15869666666667
14,barlow,14,0.05,48.62254333333333
15,barlow,15,0.1,50.13873733333334
16,barlow,16,0.0,48.80830266666666
17,barlow,17,0.05,70.53362133333334
18,barlow,18,0.1,77.591928
19,barlow,19,0.1,80.14786933333335
20,byol,0,0.1,47.85410133333333
21,byol,1,0.05,67.67969933333333
22,byol,2,0.0,76.23671466666666
23,byol,3,0.1,71.42038666666666
24,byol,4,0.0,77.10544333333334
25,byol,5,0.4,74.80651133333333
26,byol,6,0.2,75.52188533333333
27,byol,7,0.05,69.71580733333334
28,byol,8,0.1,67.37644866666666
29,byol,9,0.0,83.14779733333333
30,byol,10,0.2,76.59027866666666
31,byol,11,0.15,67.28927
32,byol,12,0.2,70.79219333333333
33,byol,13,0.05,63.50217666666667
34,byol,14,0.15,47.73471333333333
35,byol,15,0.1,51.87934133333333
36,byol,16,0.0,54.349062
37,byol,17,0.0,69.59718066666667
38,byol,18,0.05,77.899598
39,byol,19,0.4,80.485398
40,mocov2plus,0,0.05,48.89476066666667
41,mocov2plus,1,0.1,69.86814466666667
42,mocov2plus,2,0.0,77.78781066666666
43,mocov2plus,3,0.25,71.82996666666666
44,mocov2plus,4,0.0,78.28045466666666
45,mocov2plus,5,0.1,77.122348
46,mocov2plus,6,0.2,75.70347000000001
47,mocov2plus,7,0.0,70.01472733333333
48,mocov2plus,8,0.15,69.00732266666668
49,mocov2plus,9,0.1,84.39086933333333
50,mocov2plus,10,0.05,78.39487333333332
51,mocov2plus,11,0.05,66.98429066666667
52,mocov2plus,12,0.05,71.60195399999999
53,mocov2plus,13,0.1,64.136414
54,mocov2plus,14,0.1,48.437354
55,mocov2plus,15,0.05,53.50480133333333
56,mocov2plus,16,0.05,53.828690666666674
57,mocov2plus,17,0.0,69.46180933333333
58,mocov2plus,18,0.2,78.06516533333334
59,mocov2plus,19,0.05,81.61474666666668
60,simclr,0,0.1,47.23279599999999
61,simclr,1,0.05,67.58341333333333
62,simclr,2,0.05,72.67228933333334
63,simclr,3,0.15,69.38189933333332
64,simclr,4,0.05,76.83045200000001
65,simclr,5,0.15,74.49934933333333
66,simclr,6,0.25,74.27740866666666
67,simclr,7,0.05,65.996062
68,simclr,8,0.45,67.00353266666666
69,simclr,9,0.1,81.64049800000001
70,simclr,10,0.0,76.163624
71,simclr,11,0.05,64.35154666666666
72,simclr,12,0.1,67.98819666666665
73,simclr,13,0.1,60.065352
74,simclr,14,0.05,45.69179533333333
75,simclr,15,0.15,49.044231999999994
76,simclr,16,0.05,49.86611733333333
77,simclr,17,0.0,68.75312199999999
78,simclr,18,0.2,76.04905
79,simclr,19,0.05,79.688356
80,vicreg,0,0.0,46.33588266666667
81,vicreg,1,0.0,65.927956
82,vicreg,2,0.0,73.61297333333334
83,vicreg,3,0.1,71.66797066666666
84,vicreg,4,0.1,72.60924666666668
85,vicreg,5,0.4,75.47973333333331
86,vicreg,6,0.25,73.34056933333332
87,vicreg,7,0.0,64.296906
88,vicreg,8,0.15,64.47009733333333
89,vicreg,9,0.1,81.76171266666665
90,vicreg,10,0.0,73.69275666666667
91,vicreg,11,0.05,65.40364733333332
92,vicreg,12,0.0,67.92066866666667
93,vicreg,13,0.1,61.01547133333332
94,vicreg,14,0.05,46.24760333333334
95,vicreg,15,0.15,49.288527333333334
96,vicreg,16,0.0,50.90436866666666
97,vicreg,17,0.35,66.835356
98,vicreg,18,0.1,76.72851133333333
99,vicreg,19,0.15,79.53707399999999
