,model,cluster,top_crop,top_accuracy
0,,0.0,0.4,27.98647312
1,,1.0,0.5,44.62992096
2,,2.0,0.3,50.02313216
3,,3.0,0.8,57.29930463999999
4,,4.0,0.3,54.876488640000005
5,,5.0,0.8,56.13924184
6,,6.0,0.8,57.14876192
7,,7.0,0.7,39.704686159999994
8,,8.0,0.8,36.64153408000001
9,,9.0,0.8,66.28531232
10,,10.0,0.8,60.19585343999999
11,,11.0,0.8,42.43856408
12,,12.0,0.8,45.58202343999999
13,,13.0,0.8,38.62128176
14,,14.0,0.8,30.01747504
15,,15.0,0.8,29.86726472
16,,16.0,0.8,28.363883440000006
17,,17.0,0.8,53.10067152
18,,18.0,0.8,53.550679439999996
19,,19.0,0.7,58.498834079999995
