,model,cluster,top_jitter,top_accuracy
0,,0.0,1.0,46.739214095238104
1,,1.0,0.65,66.90953933333333
2,,2.0,0.3,73.24754599999999
3,,3.0,1.0,69.65161409523812
4,,4.0,0.2,73.93503771428571
5,,5.0,0.75,74.07702447619047
6,,6.0,0.95,72.88634419047617
7,,7.0,0.55,65.88023247619049
8,,8.0,0.55,64.83047171428571
9,,9.0,0.95,81.76731952380952
10,,10.0,0.95,76.18597847619048
11,,11.0,0.85,65.12593847619048
12,,12.0,0.65,67.37198142857142
13,,13.0,0.65,61.10854142857143
14,,14.0,0.65,46.6548979047619
15,,15.0,0.75,50.04737209523809
16,,16.0,0.75,50.110366285714285
17,,17.0,0.85,67.89410066666666
18,,18.0,0.75,76.86527961904761
19,,19.0,0.85,79.19326847619047
