,model,cluster,top_hue,top_accuracy
0,,0.0,0.1,46.869848133333335
1,,1.0,0.05,67.24513586666666
2,,2.0,0.0,75.34635279999999
3,,3.0,0.1,70.70277866666666
4,,4.0,0.0,76.31672253333333
5,,5.0,0.15,75.25900973333333
6,,6.0,0.25,73.73595213333333
7,,7.0,0.0,67.61427280000001
8,,8.0,0.15,65.62507079999999
9,,9.0,0.1,82.2858368
10,,10.0,0.05,76.15070426666666
11,,11.0,0.05,65.6061992
12,,12.0,0.05,68.70455373333333
13,,13.0,0.05,62.11504106666666
14,,14.0,0.05,47.13502706666667
15,,15.0,0.15,50.310582000000004
16,,16.0,0.0,50.98017893333333
17,,17.0,0.0,68.59877253333335
18,,18.0,0.1,76.89155133333334
19,,19.0,0.15,79.89846893333333
